,Country,M,W,L
0,Afghanistan,9,4,5
1,Australia,9,7,2
2,Bangladesh,9,2,7
3,England,9,3,6
4,India,9,9,0
5,Netherlands,9,2,7
6,New Zealand,9,5,4
7,Pakistan,9,4,5
8,South Africa,9,7,2
9,Sri Lanka,9,2,7
